ID,"Lib.groupId","Lib.artifactId","Lib.version","Compile","Debloat","Debloat.Time","Lib.original.test.error","Lib.original.test.failing","Lib.original.test.passing","Lib.debloat.test.error","Lib.debloat.test.failing","Lib.debloat.test.passing","Size.original.jar","Size.debloat.jar","Size.workaround.jar","Nb.class.original","Nb.method.original","Nb.debloated.classes","Nb.preserved.classes","Nb.debloated.methods","Nb.Dependenies","Nb.bloated.dependenies","Nb.dependeny.class","Nb.bloated.dependeny.class","Nb.preserved.dependeny.class","Nb.dependeny.method","Nb.bloated.dependeny.method","Lib.coverage","Lib.dep.coverage","Lib.all.coverage","Client.groupId","Client.artifactId","Client.Compile","Client.Debloat","Client.original.test.error","Client.original.test.failing","Client.original.test.passing","Client.debloat.test.error","Client.debloat.test.failing","Client.debloat.test.passing","Client.coverage","Cover.lib"
alibaba_fastjson_1.2.70,com.alibaba,fastjson,1.2.70,True,True,2579.929,0,0,4860,0,0,4860,673076,659594,667925,252,2209,6,1,61,98,98,54594,54594,0,0,0,0.8791198185590889,0,0.8791198185590889,com.imadcn.framework,idworker,True,True,0,0,21,0,0,21,0.7900943396226415,True
alibaba_fastjson_1.2.70,com.alibaba,fastjson,1.2.70,True,True,2579.929,0,0,4860,0,0,4860,673076,659594,667925,252,2209,6,1,61,98,98,54594,54594,0,0,0,0.8791198185590889,0,0.8791198185590889,com.jfinal,jfinal,True,True,0,0,2,0,0,2,0.054763893004336935,False
alibaba_fastjson_1.2.57,com.alibaba,fastjson,1.2.57,True,True,2169.131,0,1,4646,0,0,4647,3196097,3187858,814931,1794,23031,1273,12,17920,49,48,41235,40398,0,20935,17879,0.8844832679242098,0.0,0.272660809204039,com.zeroflow,zeroflow,True,True,0,0,4,0,0,4,0.004785131332256001,True
jlawrie_opencsv_2.1,net.sf.opencsv,opencsv,2.1,True,True,152.932,0,0,58,0,0,58,16629,15778,0,8,70,0,0,4,0,0,0,0,0,0,0,0.8060985144644254,0,0.8060985144644254,nl.digitalekabeltelevisie,DVBinspector,True,True,0,0,3,0,0,3,0.0832447470888029,False
jlawrie_opencsv_2.1,net.sf.opencsv,opencsv,2.1,True,True,152.932,0,0,58,0,0,58,16629,15778,0,8,70,0,0,4,0,0,0,0,0,0,0,0.8060985144644254,0,0.8060985144644254,br.usp.ime,icdc,True,True,0,0,1,0,0,1,0.04395939086294416,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,org.jperf,jperf,True,True,0,0,2,0,0,2,0.5884520884520884,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,safbuilder,safbuilder,True,True,0,0,3,0,0,3,0.3701707097933513,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,org.diffkit,diffkit,True,True,0,0,153,0,0,153,0.6596860421561617,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,fr.ens.biologie.genomique,eoulsan,True,True,0,0,512,0,0,512,0.1752673847197959,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,com.ibm.wex.relevancyprofiler,relevancy-profiler,True,True,0,0,80,0,0,80,0.4769529354682193,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,edu.harvard.iq,dataverse,True,True,0,0,1119,0,0,1119,0.19330924059150015,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,com.alibaba.rocketmq,mq-monitor,True,True,0,0,2,0,0,2,0.0,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,es.csic.iiia.planes,MASPlanes,True,True,0,0,7,0,0,7,0.0576393409785167,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,com.github.markusbernhardt,xml-doclet,True,True,0,0,55,0,0,55,0.8241178105029174,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,raisa,visualization,True,True,0,0,2,0,0,2,0.004076203552733202,False
apache_commons-cli_1.2,commons-cli,commons-cli,1.2,True,True,183.883,0,0,187,0,0,187,40042,39604,39721,22,211,1,0,5,0,0,0,0,0,0,0,0.9549650349650349,0,0.9549650349650349,com.simple,sftp-fetch,True,True,0,0,23,0,0,23,0.43010752688172044,False
