Lib,nbDepsUsedClasses,nbDepsBloatedClasses,nbLibUsedClasses,nbLibBloatedClasses,nbLibUsedMethods,nbLibBloatedMethods,nbDepsUsedMethods,nbDepsBloatedMethods
EsotericSoftware_yamlbeans_1.06,0,0,117,1,325,101,0,0
EsotericSoftware_yamlbeans_1.11,0,0,118,1,349,97,0,0
EsotericSoftware_yamlbeans_1.12,0,0,119,0,362,91,0,0
apache_commons-cli_1.4,0,0,25,2,0,0,0,0
apache_commons-cli_1.2,0,0,21,1,201,8,0,0
jqno_equalsverifier_1.7.3,27,264,70,4,373,5,195,125
jqno_equalsverifier_3.1.9,1085,6254,93,1,561,13,2589,3843
jqno_equalsverifier_2.4.2,748,3398,128,4,611,9,1475,1919
jqno_equalsverifier_1.7.5,27,264,76,4,393,5,192,128
jqno_equalsverifier_1.7.6,0,291,76,4,0,0,0,0
jqno_equalsverifier_2.4.6,754,3643,130,4,617,9,1498,1964
jqno_equalsverifier_2.4.5,754,3423,128,4,611,9,1498,1963
jqno_equalsverifier_3.1.11,1097,6321,94,1,562,13,2619,3867
jqno_equalsverifier_3.1.10,1097,6323,94,1,562,13,2619,3866
jqno_equalsverifier_3.1.12,1097,6339,94,1,562,13,2619,3867
jqno_equalsverifier_1.7.4,27,264,76,4,390,5,192,128
jqno_equalsverifier_2.3.2,742,3394,124,4,591,9,1466,1889
jqno_equalsverifier_2.4.3,748,3398,128,4,611,9,1475,1919
jqno_equalsverifier_3.1.4,1070,6252,92,1,559,13,2546,3696
jqno_equalsverifier_1.7.1,27,264,68,4,347,5,193,127
jqno_equalsverifier_3.1.8,1073,6249,93,1,561,13,2571,3820
jqno_equalsverifier_2.1.7,708,3107,124,4,579,8,1419,1854
jqno_equalsverifier_1.7.8,30,1407,76,4,393,5,216,145
jettison-json_jettison_1.0-alpha-1,2,278,19,9,0,0,13,9
jettison-json_jettison_1.0.1,0,80,25,5,164,198,0,0
jettison-json_jettison_1.3.5,0,80,44,3,283,189,0,0
jettison-json_jettison_1.3.3,0,80,43,4,259,196,0,0
jettison-json_jettison_1.3.2,0,80,42,4,243,198,0,0
jettison-json_jettison_1.1,0,80,37,3,211,189,0,0
jettison-json_jettison_1.3.7,0,80,44,3,297,194,0,0
jettison-json_jettison_1.3.8,0,80,44,3,298,195,0,0
jettison-json_jettison_1.3.6,0,80,44,3,294,190,0,0
jettison-json_jettison_1.4.0,0,0,44,3,299,196,0,0
jettison-json_jettison_1.3.4,0,80,44,4,275,193,0,0
jettison-json_jettison_1.2,0,80,41,3,228,195,0,0
jettison-json_jettison_1.3.1,0,80,41,4,229,194,0,0
rabbitmq_rabbitmq-java-client_2.3.1,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.0.1,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.3.4,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_2.7.1,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_2.8.2,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.4.4,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.1.1,0,0,0,0,0,0,0,0
rabbitmq_rabbitmq-java-client_3.4.3,0,0,0,0,0,0,0,0
